Feature_1,Feature_2,Label
4980,1965,1
5010,1995,1
5040,1965,1
4950,2040,1
5085,2055,1
4980,2145,1
5025,2085,1
4950,2100,1
5040,2175,1
5055,2130,1
4995,2190,1
4980,2265,1
5070,2250,1
5010,2340,1
5040,2385,1
5115,2355,1
5085,2310,1
5010,2430,1
5115,2325,1
5130,2445,1
5040,2520,1
5070,2460,1
5145,2385,1
5145,2475,1
5130,2550,1
5070,2580,1
5175,2580,1
5175,2505,1
5205,2580,1
5205,2670,1
5280,2595,1
5145,2625,1
5310,2655,1
5235,2700,1
5280,2730,1
5355,2670,1
5355,2775,1
5280,2835,1
5205,2700,1
5295,2775,1
5415,2715,1
5310,2820,1
5355,2850,1
5385,2835,1
5430,2775,1
5475,2805,1
5400,2895,1
5520,2895,1
5475,2805,1
5505,2835,1
5430,2895,1
5520,2895,1
5535,2955,1
5580,2820,1
5715,2940,1
5535,2955,1
5610,3000,1
5550,2880,1
5595,2865,1
5625,2865,1
5670,2925,1
5700,2985,1
5775,2895,1
5790,3015,1
5850,3015,1
5940,2985,1
5880,2910,1
5865,3015,1
5865,3045,1
5925,3060,1
6030,3075,1
6030,3000,1
5985,2925,1
5835,2940,1
6120,3045,1
6090,2925,1
6060,3015,1
6180,3015,1
6135,2925,1
6180,2955,1
6240,3000,1
6300,3000,1
6225,2910,1
6270,2910,1
6375,2955,1
6405,2985,1
6345,2985,1
6345,2865,1
6465,2895,1
6420,2925,1
6480,2940,1
6465,2865,1
6390,2865,1
6450,2955,1
6525,2955,1
6525,2865,1
6435,2760,1
6510,2820,1
6585,2865,1
6630,2835,1
6570,2790,1
6615,2760,1
6555,2790,1
6720,2835,1
6660,2760,1
6630,2685,1
6675,2685,1
6705,2685,1
6705,2745,1
6780,2760,1
6780,2700,1
6720,2580,1
6795,2595,1
6795,2640,1
6720,2580,1
6735,2685,1
6780,2625,1
6840,2505,1
6840,2625,1
6885,2580,1
6825,2565,1
6825,2505,1
6900,2505,1
6855,2415,1
6915,2520,1
6945,2430,1
6870,2430,1
6885,2340,1
7050,2340,1
6975,2415,1
6930,2325,1
6930,2205,1
7065,2280,1
6990,2295,1
6990,2235,1
6885,2235,1
6945,2115,1
7065,2145,1
7020,2145,1
6915,2145,1
6930,2025,1
7020,2025,1
7035,2100,1
7035,1995,1
6990,1965,1
6915,1935,1
6945,1860,1
7005,1860,1
7080,1920,1
7020,1740,1
6930,1815,1
6885,1710,1
7020,1740,1
7020,1800,1
7005,1620,1
6885,1620,1
6960,1515,1
6960,1665,1
6960,1530,1
6885,1650,1
7005,1665,1
7005,1725,1
4965,1830,1
5055,1845,1
5025,1920,1
4965,1875,1
5100,1875,1
5070,1785,1
4980,1710,1
5055,1635,1
5130,1755,1
5055,1725,1
4995,1665,1
5160,1665,1
5130,1620,1
5085,1515,1
5070,1590,1
5115,1590,1
5145,1455,1
5130,1380,1
5205,1470,1
5175,1560,1
5175,1470,1
5295,1410,1
5205,1365,1
5220,1320,1
5220,1455,1
5280,1335,1
5235,1170,1
5325,1245,1
5325,1335,1
5325,1215,1
5280,1260,1
5385,1185,1
5385,1275,1
5430,1170,1
5430,1110,1
5385,1140,1
5430,1185,1
5460,1200,1
5490,1170,1
5535,1095,1
5565,1215,1
5520,1215,1
5610,1125,1
5490,1125,1
5640,1125,1
5550,1005,1
5700,1005,1
5595,1035,1
5775,1035,1
5685,1110,1
5820,1110,1
5745,1005,1
5895,975,1
5820,1050,1
5970,1065,1
5895,1035,1
6150,1050,1
6060,960,1
6000,930,1
5910,930,1
5850,1005,1
5940,1080,1
6060,1080,1
5970,990,1
6135,990,1
6210,990,1
6090,1065,1
6210,1065,1
6210,975,1
6315,1005,1
6285,1110,1
6405,1065,1
6375,1140,1
6390,1170,1
6600,1170,1
6480,1170,1
6360,1035,1
