Feature_1,Feature_2,Label
-1.53E+00,9.04E-01,1
-2.04E+00,-4.27E-02,1
-1.45E+00,5.85E-01,1
-2.10E+00,3.49E-01,1
-6.46E-01,-3.12E-01,1
-1.31E+00,2.31E-01,1
-7.01E-01,3.86E-01,1
-1.62E+00,4.02E-01,1
-1.28E+00,-4.00E-01,1
-1.92E+00,-8.05E-01,1
-1.71E+00,-3.33E-01,1
-2.49E+00,1.49E-01,1
-1.01E+00,6.14E-01,1
-1.22E+00,-4.97E-01,1
-2.21E+00,3.03E-01,1
-6.40E-01,-3.80E-01,1
-1.96E+00,7.29E-02,1
-2.17E+00,-5.78E-01,1
-2.07E+00,3.04E-01,1
-1.17E+00,-3.78E-01,1
-1.89E+00,4.41E-01,1
-2.23E+00,2.34E-01,1
-1.96E+00,-5.59E-01,1
-1.07E+00,9.80E-02,1
-6.17E-01,-3.40E-01,1
-1.09E+00,8.87E-01,1
-1.34E+00,7.60E-01,1
-1.00E+00,-2.41E-01,1
-1.05E+00,-6.74E-01,1
-9.48E-01,2.27E-01,1
-5.83E-01,3.60E-01,1
-2.39E+00,2.00E-01,1
-1.71E+00,-5.69E-01,1
1.26E+00,-8.46E-01,2
9.15E-01,5.78E-01,2
9.36E-01,7.56E-01,2
1.61E+00,4.44E-01,2
2.84E+00,-6.89E-01,2
1.23E+00,-3.73E-01,2
9.59E-01,-2.85E-01,2
9.54E-01,5.87E-01,2
2.90E+00,-7.80E-01,2
2.15E+00,-7.35E-01,2
1.52E+00,-7.30E-01,2
1.35E+00,-2.07E-01,2
1.17E+00,-5.18E-01,2
2.76E+00,-2.18E-01,2
1.92E+00,-8.14E-01,2
9.43E-01,-6.81E-01,2
2.59E+00,7.58E-01,2
1.27E+00,9.83E-01,2
2.32E+00,7.43E-01,2
1.86E+00,-7.99E-03,2
1.48E+00,-8.78E-01,2
1.42E+00,-6.27E-01,2
2.73E+00,-7.53E-01,2
9.27E-01,-2.61E-01,2
2.30E+00,7.79E-01,2
2.09E+00,-6.87E-01,2
1.53E+00,-5.33E-01,2
9.17E-01,-2.06E-01,2
2.20E+00,-8.30E-01,2
2.44E+00,9.39E-01,2
2.33E+00,5.64E-01,2
1.38E+00,-6.09E-01,2
1.43E+00,4.28E-01,2
4.78E+00,7.01E-01,3
3.48E+00,1.57E+00,3
1.71E+00,2.07E+00,3
-1.31E-01,2.13E+00,3
-1.94E+00,1.92E+00,3
4.38E+00,-9.45E-01,3
1.74E+00,1.92E+00,3
2.25E+00,-1.59E+00,3
-2.92E+00,-1.49E+00,3
-5.00E+00,-5.39E-03,3
-4.55E+00,-7.43E-01,3
3.17E+00,1.55E+00,3
2.27E+00,1.93E+00,3
4.55E+00,9.77E-01,3
-1.55E+00,1.97E+00,3
-4.41E+00,1.14E+00,3
-3.43E+00,-1.44E+00,3
-5.01E-01,2.07E+00,3
