Feature_1,Feature_2,Label
1020,1965,1
990,1935,1
1035,1935,1
1020,1860,1
1005,1800,1
1065,1800,1
1005,1710,1
1050,1695,1
1035,1605,1
1110,1620,1
1125,1530,1
1050,1455,1
1170,1470,1
1185,1500,1
1290,1470,1
1170,1425,1
1170,1320,1
1095,1365,1
1185,1185,1
1215,1200,1
1320,1140,1
1380,1095,1
1470,1050,1
1530,975,1
1485,1125,1
1350,1215,1
1365,1305,1
1395,1320,1
1470,1245,1
1485,1155,1
1515,1050,1
1560,990,1
1590,1125,1
1620,1200,1
1665,1140,1
1665,1005,1
1665,945,1
1740,945,1
1740,1080,1
1740,1155,1
1830,1095,1
1845,1005,1
1845,915,1
1965,1005,1
1980,1095,1
1935,1140,1
2010,1155,1
2040,1065,1
2040,960,1
2070,915,1
2190,975,1
2175,1110,1
2085,1095,1
2280,975,1
2250,1095,1
2250,1140,1
2280,1110,1
2370,1005,1
2385,1035,1
2310,1170,1
2400,1095,1
2400,1020,1
2475,1020,1
2460,1125,1
2445,1200,1
2460,1275,1
2505,1200,1
2550,1095,1
2340,1185,1
2580,1245,1
2505,1245,1
2610,1155,1
2595,1275,1
2595,1335,1
2700,1230,1
2745,1305,1
2655,1335,1
2775,1335,1
2670,1410,1
2880,1410,1
2790,1440,1
2850,1470,1
2820,1530,1
2940,1560,1
2865,1590,1
2925,1620,1
2880,1695,1
2955,1695,1
2895,1785,1
3000,1785,1
2910,1830,1
2955,1845,1
2925,1935,1
3015,1935,1
3015,1845,1
2880,1860,1
2940,1755,1
1920,930,1
1770,930,1
2955,1965,1
1950,1695,2
2025,1695,2
1980,1755,2
2070,1770,2
1965,1830,2
1980,1890,2
2055,1875,2
2025,1995,2
1965,2055,2
2115,1965,2
2010,2100,2
2085,2100,2
2055,2235,2
2145,2100,2
2145,2265,2
2250,2265,2
2115,2370,2
2190,2205,2
2205,2325,2
2175,2445,2
2280,2340,2
2250,2490,2
2295,2535,2
2325,2445,2
2370,2355,2
2355,2490,2
2355,2595,2
2445,2610,2
2445,2475,2
2490,2460,2
2460,2610,2
2490,2745,2
2550,2700,2
2595,2580,2
2490,2580,2
2550,2730,2
2625,2730,2
2640,2595,2
2685,2535,2
2730,2610,2
2700,2715,2
2700,2835,2
2775,2835,2
2805,2760,2
2805,2655,2
2895,2625,2
2820,2715,2
2835,2805,2
2940,2805,2
2940,2745,2
3030,2595,2
3030,2700,2
2970,2790,2
3090,2835,2
3150,2790,2
3180,2730,2
3180,2625,2
3225,2595,2
3255,2595,2
3240,2715,2
3240,2775,2
3060,2730,2
3120,2640,2
3345,2580,2
3330,2760,2
3495,2730,2
3525,2490,2
3405,2610,2
3585,2595,2
3495,2490,2
3465,2700,2
3600,2610,2
3650,2640,2
3690,2475,2
3615,2385,2
3600,2580,2
3660,2490,2
3705,2340,2
3765,2415,2
3765,2490,2
3810,2280,2
3840,2205,2
3855,2295,2
3930,2235,2
3945,2100,2
3930,2055,2
3900,2070,2
3990,1950,2
4050,2040,2
3975,2085,2
3945,1905,2
4065,1785,2
3975,1785,2
4000,1650,2
4065,1665,2
4050,1740,2
4020,1890,2
4020,2160,2
3840,2415,2
3675,2625,2
