Dataset,Noise Type,Algorithm,Linkage,Noise Level,Normalized Mutual Information
2blobs_spray,Gaussian,K-Means,Average,0,0.678 (0.07)
2blobs_spray,Gaussian,K-Means,Single,0,0.7184 (0.01)
2blobs_spray,Gaussian,K-Means,Complete,0,0.6425 (0.04)
2blobs_spray,Gaussian,Agglomerative,Average,0,0.7208 (0.0)
2blobs_spray,Gaussian,Agglomerative,Single,0,0.7195 (0.0)
2blobs_spray,Gaussian,Agglomerative,Complete,0,0.7283 (0.04)
2blobs_spray,Gaussian,MultiMember,Average,0,0.7166 (0.04)
2blobs_spray,Gaussian,MultiMember,Single,0,0.726 (0.0)
2blobs_spray,Gaussian,MultiMember,Complete,0,0.7051 (0.02)
2blobs_spray,Gaussian,K-Means,Average,0.02,0.6537 (0.04)
2blobs_spray,Gaussian,K-Means,Single,0.02,0.6772 (0.02)
2blobs_spray,Gaussian,K-Means,Complete,0.02,0.6533 (0.03)
2blobs_spray,Gaussian,Agglomerative,Average,0.02,0.6544 (0.0)
2blobs_spray,Gaussian,Agglomerative,Single,0.02,0.2666 (0.32)
2blobs_spray,Gaussian,Agglomerative,Complete,0.02,0.6351 (0.08)
2blobs_spray,Gaussian,MultiMember,Average,0.02,0.693 (0.05)
2blobs_spray,Gaussian,MultiMember,Single,0.02,0.6868 (0.01)
2blobs_spray,Gaussian,MultiMember,Complete,0.02,0.663 (0.02)
2blobs_spray,Gaussian,K-Means,Average,0.05,0.6157 (0.05)
2blobs_spray,Gaussian,K-Means,Single,0.05,0.5526 (0.04)
2blobs_spray,Gaussian,K-Means,Complete,0.05,0.5875 (0.02)
2blobs_spray,Gaussian,Agglomerative,Average,0.05,0.5915 (0.02)
2blobs_spray,Gaussian,Agglomerative,Single,0.05,0.5215 (0.26)
2blobs_spray,Gaussian,Agglomerative,Complete,0.05,0.471 (0.22)
2blobs_spray,Gaussian,MultiMember,Average,0.05,0.6317 (0.03)
2blobs_spray,Gaussian,MultiMember,Single,0.05,0.5904 (0.01)
2blobs_spray,Gaussian,MultiMember,Complete,0.05,0.5798 (0.02)
2blobs_spray,Gaussian,K-Means,Average,0.1,0.5173 (0.03)
2blobs_spray,Gaussian,K-Means,Single,0.1,0.3959 (0.2)
2blobs_spray,Gaussian,K-Means,Complete,0.1,0.4917 (0.03)
2blobs_spray,Gaussian,Agglomerative,Average,0.1,0.527 (0.03)
2blobs_spray,Gaussian,Agglomerative,Single,0.1,0.5284 (0.03)
2blobs_spray,Gaussian,Agglomerative,Complete,0.1,0.5032 (0.04)
2blobs_spray,Gaussian,MultiMember,Average,0.1,0.5241 (0.03)
2blobs_spray,Gaussian,MultiMember,Single,0.1,0.2207 (0.26)
2blobs_spray,Gaussian,MultiMember,Complete,0.1,0.4963 (0.02)
2blobs_spray,Gaussian,K-Means,Average,0.15,0.4251 (0.02)
2blobs_spray,Gaussian,K-Means,Single,0.15,0.1023 (0.17)
2blobs_spray,Gaussian,K-Means,Complete,0.15,0.4048 (0.03)
2blobs_spray,Gaussian,Agglomerative,Average,0.15,0.4439 (0.01)
2blobs_spray,Gaussian,Agglomerative,Single,0.15,0.3699 (0.18)
2blobs_spray,Gaussian,Agglomerative,Complete,0.15,0.4434 (0.02)
2blobs_spray,Gaussian,MultiMember,Average,0.15,0.4418 (0.01)
2blobs_spray,Gaussian,MultiMember,Single,0.15,0.1842 (0.21)
2blobs_spray,Gaussian,MultiMember,Complete,0.15,0.4461 (0.02)
2blobs_spray,Gaussian,K-Means,Average,0.25,0.3505 (0.04)
2blobs_spray,Gaussian,K-Means,Single,0.25,0.1626 (0.19)
2blobs_spray,Gaussian,K-Means,Complete,0.25,0.3407 (0.04)
2blobs_spray,Gaussian,Agglomerative,Average,0.25,0.3068 (0.02)
2blobs_spray,Gaussian,Agglomerative,Single,0.25,0.2798 (0.13)
2blobs_spray,Gaussian,Agglomerative,Complete,0.25,0.2635 (0.13)
2blobs_spray,Gaussian,MultiMember,Average,0.25,0.3416 (0.03)
2blobs_spray,Gaussian,MultiMember,Single,0.25,0.014 (0.01)
2blobs_spray,Gaussian,MultiMember,Complete,0.25,0.3313 (0.04)
2blobs_spray,Uniform,K-Means,Average,0,0.7275 (0.05)
2blobs_spray,Uniform,K-Means,Single,0,0.5815 (0.27)
2blobs_spray,Uniform,K-Means,Complete,0,0.6324 (0.04)
2blobs_spray,Uniform,Agglomerative,Average,0,0.7223 (0.02)
2blobs_spray,Uniform,Agglomerative,Single,0,0.7094 (0.02)
2blobs_spray,Uniform,Agglomerative,Complete,0,0.69 (0.05)
2blobs_spray,Uniform,MultiMember,Average,0,0.7182 (0.03)
2blobs_spray,Uniform,MultiMember,Single,0,0.7184 (0.01)
2blobs_spray,Uniform,MultiMember,Complete,0,0.6904 (0.03)
2blobs_spray,Uniform,K-Means,Average,0.02,0.6511 (0.05)
2blobs_spray,Uniform,K-Means,Single,0.02,0.666 (0.01)
2blobs_spray,Uniform,K-Means,Complete,0.02,0.5774 (0.02)
2blobs_spray,Uniform,Agglomerative,Average,0.02,0.6964 (0.03)
2blobs_spray,Uniform,Agglomerative,Single,0.02,0.697 (0.03)
2blobs_spray,Uniform,Agglomerative,Complete,0.02,0.6747 (0.09)
2blobs_spray,Uniform,MultiMember,Average,0.02,0.6665 (0.06)
2blobs_spray,Uniform,MultiMember,Single,0.02,0.6704 (0.01)
2blobs_spray,Uniform,MultiMember,Complete,0.02,0.5933 (0.07)
2blobs_spray,Uniform,K-Means,Average,0.05,0.592 (0.04)
2blobs_spray,Uniform,K-Means,Single,0.05,0.484 (0.23)
2blobs_spray,Uniform,K-Means,Complete,0.05,0.5258 (0.04)
2blobs_spray,Uniform,Agglomerative,Average,0.05,0.6251 (0.01)
2blobs_spray,Uniform,Agglomerative,Single,0.05,0.6056 (0.0)
2blobs_spray,Uniform,Agglomerative,Complete,0.05,0.5216 (0.11)
2blobs_spray,Uniform,MultiMember,Average,0.05,0.6096 (0.03)
2blobs_spray,Uniform,MultiMember,Single,0.05,0.6095 (0.01)
2blobs_spray,Uniform,MultiMember,Complete,0.05,0.5843 (0.05)
