Dataset,Noise Type,Algorithm,Linkage,Noise Level,Normalized Mutual Information
2blobs_spray,Gaussian,K-Means,Average,0,0.6812 (0.08)
2blobs_spray,Gaussian,K-Means,Single,0,0.7234 (0.0)
2blobs_spray,Gaussian,K-Means,Complete,0,0.6159 (0.05)
2blobs_spray,Gaussian,Agglomerative,Average,0,0.724 (0.0)
2blobs_spray,Gaussian,Agglomerative,Single,0,0.7212 (0.0)
2blobs_spray,Gaussian,Agglomerative,Complete,0,0.4151 (0.33)
2blobs_spray,Gaussian,MultiMember,Average,0,0.6965 (0.01)
2blobs_spray,Gaussian,MultiMember,Single,0,0.5791 (0.28)
2blobs_spray,Gaussian,MultiMember,Complete,0,0.5861 (0.29)
2blobs_spray,Gaussian,K-Means,Average,0.02,0.6265 (0.05)
2blobs_spray,Gaussian,K-Means,Single,0.02,0.6605 (0.0)
2blobs_spray,Gaussian,K-Means,Complete,0.02,0.5536 (0.02)
2blobs_spray,Gaussian,Agglomerative,Average,0.02,0.5392 (0.27)
2blobs_spray,Gaussian,Agglomerative,Single,0.02,0.4059 (0.33)
2blobs_spray,Gaussian,Agglomerative,Complete,0.02,0.521 (0.26)
2blobs_spray,Gaussian,MultiMember,Average,0.02,0.6577 (0.01)
2blobs_spray,Gaussian,MultiMember,Single,0.02,0.6691 (0.01)
2blobs_spray,Gaussian,MultiMember,Complete,0.02,0.5267 (0.26)
2blobs_spray,Gaussian,K-Means,Average,0.05,0.6097 (0.03)
2blobs_spray,Gaussian,K-Means,Single,0.05,0.6264 (0.0)
2blobs_spray,Gaussian,K-Means,Complete,0.05,0.5317 (0.04)
2blobs_spray,Gaussian,Agglomerative,Average,0.05,0.6083 (0.01)
2blobs_spray,Gaussian,Agglomerative,Single,0.05,0.1373 (0.24)
2blobs_spray,Gaussian,Agglomerative,Complete,0.05,0.6253 (0.0)
2blobs_spray,Gaussian,MultiMember,Average,0.05,0.5876 (0.05)
2blobs_spray,Gaussian,MultiMember,Single,0.05,0.3806 (0.3)
2blobs_spray,Gaussian,MultiMember,Complete,0.05,0.6099 (0.04)
2blobs_spray,Gaussian,K-Means,Average,0.1,0.4962 (0.01)
2blobs_spray,Gaussian,K-Means,Single,0.1,0.2245 (0.26)
2blobs_spray,Gaussian,K-Means,Complete,0.1,0.4457 (0.03)
2blobs_spray,Gaussian,Agglomerative,Average,0.1,0.0104 (0.0)
2blobs_spray,Gaussian,Agglomerative,Single,0.1,0.0078 (0.0)
2blobs_spray,Gaussian,Agglomerative,Complete,0.1,0.2502 (0.2)
2blobs_spray,Gaussian,MultiMember,Average,0.1,0.0111 (0.0)
2blobs_spray,Gaussian,MultiMember,Single,0.1,0.0078 (0.0)
