Dataset,Noise Type,Algorithm,Linkage,Noise Level,Normalized Mutual Information
2blobs_spray,Gaussian,K-Means,Average,0,0.7434 (0.05)
2blobs_spray,Gaussian,K-Means,Single,0,0.7136 (0.02)
2blobs_spray,Gaussian,K-Means,Complete,0,0.671 (0.02)
2blobs_spray,Gaussian,Agglomerative,Average,0,0.7245 (0.04)
2blobs_spray,Gaussian,Agglomerative,Single,0,0.7177 (0.0)
2blobs_spray,Gaussian,Agglomerative,Complete,0,0.7202 (0.02)
2blobs_spray,Gaussian,MultiMember,Average,0,0.7447 (0.05)
2blobs_spray,Gaussian,MultiMember,Single,0,0.742 (0.04)
2blobs_spray,Gaussian,MultiMember,Complete,0,0.6871 (0.05)
2blobs_spray,Gaussian,K-Means,Average,0.02,0.6657 (0.04)
2blobs_spray,Gaussian,K-Means,Single,0.02,0.6553 (0.04)
2blobs_spray,Gaussian,K-Means,Complete,0.02,0.6449 (0.05)
2blobs_spray,Gaussian,Agglomerative,Average,0.02,0.6356 (0.03)
2blobs_spray,Gaussian,Agglomerative,Single,0.02,0.628 (0.0)
2blobs_spray,Gaussian,Agglomerative,Complete,0.02,0.6527 (0.07)
2blobs_spray,Gaussian,MultiMember,Average,0.02,0.6733 (0.04)
2blobs_spray,Gaussian,MultiMember,Single,0.02,0.634 (0.01)
2blobs_spray,Gaussian,MultiMember,Complete,0.02,0.625 (0.05)
2blobs_spray,Gaussian,K-Means,Average,0.05,0.6136 (0.02)
2blobs_spray,Gaussian,K-Means,Single,0.05,0.5365 (0.06)
2blobs_spray,Gaussian,K-Means,Complete,0.05,0.5801 (0.04)
2blobs_spray,Gaussian,Agglomerative,Average,0.05,0.5817 (0.09)
2blobs_spray,Gaussian,Agglomerative,Single,0.05,0.4715 (0.17)
2blobs_spray,Gaussian,Agglomerative,Complete,0.05,0.623 (0.1)
2blobs_spray,Gaussian,MultiMember,Average,0.05,0.6292 (0.08)
2blobs_spray,Gaussian,MultiMember,Single,0.05,0.0436 (0.06)
2blobs_spray,Gaussian,MultiMember,Complete,0.05,0.548 (0.09)
2blobs_spray,Gaussian,K-Means,Average,0.1,0.5342 (0.01)
2blobs_spray,Gaussian,K-Means,Single,0.1,0.3268 (0.26)
2blobs_spray,Gaussian,K-Means,Complete,0.1,0.5105 (0.06)
2blobs_spray,Gaussian,Agglomerative,Average,0.1,0.4994 (0.05)
2blobs_spray,Gaussian,Agglomerative,Single,0.1,0.5222 (0.06)
2blobs_spray,Gaussian,Agglomerative,Complete,0.1,0.5419 (0.02)
2blobs_spray,Gaussian,MultiMember,Average,0.1,0.4732 (0.07)
2blobs_spray,Gaussian,MultiMember,Single,0.1,0.5499 (0.0)
2blobs_spray,Gaussian,MultiMember,Complete,0.1,0.576 (0.04)
2blobs_spray,Gaussian,K-Means,Average,0.15,0.4374 (0.03)
2blobs_spray,Gaussian,K-Means,Single,0.15,0.1956 (0.23)
2blobs_spray,Gaussian,K-Means,Complete,0.15,0.4427 (0.01)
2blobs_spray,Gaussian,Agglomerative,Average,0.15,0.478 (0.01)
2blobs_spray,Gaussian,Agglomerative,Single,0.15,0.4365 (0.02)
2blobs_spray,Gaussian,Agglomerative,Complete,0.15,0.4435 (0.04)
2blobs_spray,Gaussian,MultiMember,Average,0.15,0.486 (0.01)
2blobs_spray,Gaussian,MultiMember,Single,0.15,0.4634 (0.01)
2blobs_spray,Gaussian,MultiMember,Complete,0.15,0.4416 (0.05)
2blobs_spray,Gaussian,K-Means,Average,0.25,0.3747 (0.01)
2blobs_spray,Gaussian,K-Means,Single,0.25,0.2198 (0.17)
2blobs_spray,Gaussian,K-Means,Complete,0.25,0.3651 (0.01)
2blobs_spray,Gaussian,Agglomerative,Average,0.25,0.3464 (0.08)
2blobs_spray,Gaussian,Agglomerative,Single,0.25,0.4272 (0.03)
2blobs_spray,Gaussian,Agglomerative,Complete,0.25,0.3861 (0.02)
2blobs_spray,Gaussian,MultiMember,Average,0.25,0.3697 (0.03)
2blobs_spray,Gaussian,MultiMember,Single,0.25,0.1452 (0.17)
2blobs_spray,Gaussian,MultiMember,Complete,0.25,0.3214 (0.09)
2blobs_spray,Uniform,K-Means,Average,0,0.7466 (0.04)
2blobs_spray,Uniform,K-Means,Single,0,0.7108 (0.01)
2blobs_spray,Uniform,K-Means,Complete,0,0.6876 (0.03)
2blobs_spray,Uniform,Agglomerative,Average,0,0.7247 (0.04)
2blobs_spray,Uniform,Agglomerative,Single,0,0.7081 (0.02)
2blobs_spray,Uniform,Agglomerative,Complete,0,0.737 (0.03)
2blobs_spray,Uniform,MultiMember,Average,0,0.748 (0.06)
2blobs_spray,Uniform,MultiMember,Single,0,0.7177 (0.0)
2blobs_spray,Uniform,MultiMember,Complete,0,0.6818 (0.03)
2blobs_spray,Uniform,K-Means,Average,0.02,0.6555 (0.04)
2blobs_spray,Uniform,K-Means,Single,0.02,0.6295 (0.01)
2blobs_spray,Uniform,K-Means,Complete,0.02,0.647 (0.06)
2blobs_spray,Uniform,Agglomerative,Average,0.02,0.712 (0.01)
2blobs_spray,Uniform,Agglomerative,Single,0.02,0.7243 (0.0)
2blobs_spray,Uniform,Agglomerative,Complete,0.02,0.6544 (0.06)
2blobs_spray,Uniform,MultiMember,Average,0.02,0.716 (0.01)
2blobs_spray,Uniform,MultiMember,Single,0.02,0.6364 (0.02)
2blobs_spray,Uniform,MultiMember,Complete,0.02,0.6287 (0.05)
2blobs_spray,Uniform,K-Means,Average,0.05,0.6242 (0.02)
2blobs_spray,Uniform,K-Means,Single,0.05,0.6221 (0.01)
2blobs_spray,Uniform,K-Means,Complete,0.05,0.5722 (0.06)
2blobs_spray,Uniform,Agglomerative,Average,0.05,0.5959 (0.07)
2blobs_spray,Uniform,Agglomerative,Single,0.05,0.606 (0.02)
2blobs_spray,Uniform,Agglomerative,Complete,0.05,0.5594 (0.06)
2blobs_spray,Uniform,MultiMember,Average,0.05,0.6508 (0.01)
2blobs_spray,Uniform,MultiMember,Single,0.05,0.6075 (0.01)
2blobs_spray,Uniform,MultiMember,Complete,0.05,0.5823 (0.07)
2blobs_spray,Uniform,K-Means,Average,0.1,0.4864 (0.03)
2blobs_spray,Uniform,K-Means,Single,0.1,0.4197 (0.21)
2blobs_spray,Uniform,K-Means,Complete,0.1,0.4793 (0.04)
2blobs_spray,Uniform,Agglomerative,Average,0.1,0.4643 (0.06)
2blobs_spray,Uniform,Agglomerative,Single,0.1,0.5188 (0.01)
2blobs_spray,Uniform,Agglomerative,Complete,0.1,0.4784 (0.08)
2blobs_spray,Uniform,MultiMember,Average,0.1,0.5275 (0.01)
2blobs_spray,Uniform,MultiMember,Single,0.1,0.5127 (0.02)
